Outreach Tier	Research Batch	Priority	Company	Website	Contact Name	Title	Direct Email	General Email	Phone	City	State	Tour Category	Average Group Size	Estimated Annual Yellowstone Guests	Notes	Contacted?	Source URL	Verification Status	Next Step
Tier 1 - A+ West Entrance / Daily Yellowstone Fit	Batch 1A - Tier 1 Complete	A+	Adventure Tours of Yellowstone	https://adventuretoursofyellowstone.com/				info@adventuretoursofyellowstone.com	406-640-0421	West Yellowstone	MT	Wildlife Safari	8	900	Public source says West Yellowstone, Big Sky, Old Faithful and in-park pickups; email/phone publicly listed.	No	https://adventuretoursofyellowstone.com/contact/	Email/phone verified on company contact page	First outreach email + phone follow-up
Tier 2 - Motorcoach / Regional Group Operators	Batch 3 - Tier 2 completion	A	Tauck	https://www.tauck.com			info@tauck.com	info@tauck.com	800-788-7885	Wilton	CT	Luxury Motorcoach / Escorted National Park Tours	30	1600	Yellowstone & Grand Teton tours; contact page publicly lists info@tauck.com and phone.	No	https://www.tauck.com/contact-us	Public email and phone verified via Tauck contact page	Email and call North America inquiries
Tier 2 - Motorcoach / Regional Group Operators	Batch 3 - Tier 2 completion	A	Road Scholar	https://www.roadscholar.org			contact@roadscholar.org	contact@roadscholar.org	800-454-5768	Boston	MA	Educational / Senior Group Travel	30	1200	Educational Yellowstone programs; contact page publicly lists contact@roadscholar.org and phone.	No	https://www.roadscholar.org/about/contact-us/	Public email and phone verified via Road Scholar contact page	Email program/vendor inquiry
Tier 3 - Educational / Student Travel	Batch 3A - Tier 3 Complete	A	WorldStrides	https://worldstrides.com/en-us				internationalCS@WorldStrides.org	1-800-771-2323	Charlottesville	VA	Educational / K-12 Student Travel	40	2500	Large K-12 and higher-ed educational travel provider; national park/science itinerary fit.	No	https://program.worldstrides.com/teachers/select-a-tour.aspx	Teacher/traveler phone and email listed on WorldStrides tour page	Send education/student group lunch outreach; call if no email response
Tier 3 - Educational / Student Travel	Batch 3A - Tier 3 Complete	A	Explorica	https://www.explorica.com				info@explorica.com	1-888-310-7120	Charlottesville	VA	Educational / Student Tours	35	1500	Educational tours for students; good national student group prospect.	No	https://www.explorica.com/contact-us.aspx	Email, teacher phone, traveler phone and address verified on contact page	Send education/student group lunch outreach; call if no email response
Tier 3 - Educational / Student Travel	Batch 3A - Tier 3 Complete	A	Global Travel Alliance	https://globaltravelalliance.com				info@globaltravelalliance.com	866-313-2577	Bozeman / Burnsville	MT/MN	Educational / Student Travel	35	1500	Has Yellowstone destination content and Bozeman office; high-value Tier 3 prospect.	No	https://globaltravelalliance.com/contact	Email, phone and Bozeman office verified on company contact page	Send education/student group lunch outreach; call if no email response
Tier 3 - Educational / Student Travel	Batch 3A - Tier 3 Complete	A	Appleseed Expeditions	https://www.appleseedexpeditions.com				info@appleseedexpeditions.com	888-231-4775	Santa Rosa Beach / Freeport	FL	Educational / Service Learning Student Travel	30	800	Has Yellowstone school trip and North America national park trips.	No	https://www.appleseedexpeditions.com/contact-8	Email and phone verified on official contact page	Send education/student group lunch outreach; call if no email response
Tier 3 - Educational / Student Travel	Batch 3A - Tier 3 Complete	A	Grand Classroom	https://www.grandclassroom.com				davehenley@grandclassroom.com	800-839-6424	Charlottesville	VA	Educational / National Parks Student Trips	35	700	NSTA listing states Grand Classroom provides student travel to national parks including Yellowstone.	No	https://static.nsta.org/pdfs/2011hartfordprogram.pdf	Phone/email from NSTA exhibitor/program listing; verify current contact before YAMM	Send education/student group lunch outreach; call if no email response
Tier 3 - Educational / Student Travel	Batch 3A - Tier 3 Complete	A	Yellowstone Forever Institute / Expedition Yellowstone	https://www.yellowstone.org/expedition-yellowstone/				contact@yellowstone.org	406-848-2400	Yellowstone National Park	WY	Educational / Yellowstone Programs	25	2000	Official nonprofit education partner; Expedition Yellowstone serves grades 4-8.	No	https://www.yellowstone.org/expedition-yellowstone/	Program/source verified; contact email/phone from Yellowstone Forever program materials/search result	Send education/student group lunch outreach; call if no email response
Tier 3 - Educational / Student Travel	Batch 3A - Tier 3 Complete	A	Putney Student Travel	https://goputney.com/program/yellowstone-photography-workshop/				info@goputney.com	802-387-5000	Putney	VT	Educational / High School Summer Travel	18	600	Runs Yellowstone photography workshop for high school students.	No	https://goputney.com/contact/	Email, phone and address verified on official contact page	Send education/student group lunch outreach; call if no email response
Tier 3 - Educational / Student Travel	Batch 3A - Tier 3 Complete	A	Moondance Adventures	https://moondanceadventures.com				info@moondanceadventures.com	800-832-5229	Nashville	TN	Educational / Teen Adventure Travel	12	500	Teen adventure travel; Wyoming/Jackson-area adventure fit.	No	https://moondanceadventures.com/	Email, phone and address verified in page footer/search result	Send education/student group lunch outreach; call if no email response
Tier 3 - Educational / Student Travel	Batch 3A - Tier 3 Complete	A	Broadreach	https://www.gobroadreach.com				brhq@gobroadreach.com	919-256-8200	Raleigh	NC	Educational / Teen Summer Programs	12	400	Teen adventure and learning travel operator; potential group lunch prospect if routing through Yellowstone/West.	No	https://www.gobroadreach.com/	Email, phone and address verified on official site	Send education/student group lunch outreach; call if no email response
Tier 3 - Educational / Student Travel	Batch 3A - Tier 3 Complete	A	ACIS Educational Tours	https://acis.com				info@acis.com		Boston	MA	Educational / Student Tours	30	500	Educational travel for teacher-led student groups.	No	https://acis.com/	Email and address verified on official page; phone not captured	Send education/student group lunch outreach; call if no email response
Tier 3 - Educational / Student Travel	Batch 3A - Tier 3 Complete	A	NationsClassroom	https://www.nationsclassroomtours.com				inspire@nationsclassroom.com	877-270-1776	Mechanicsville	VA	Educational / Student Travel	35	500	Student travel company; good school-group outreach prospect.	No	https://www.nationsclassroomtours.com/contact/	Email, phone and mailing address verified on contact page	Send education/student group lunch outreach; call if no email response
Tier 3 - Educational / Student Travel	Batch 3A - Tier 3 Complete	A	NETC Educational Travel	https://educationaltravel.com				netc@educationaltravel.com	617-725-0044	Boston	MA	Educational / Student Travel	30	400	Educational travel operator; potential school group prospect.	No	https://www.facebook.com/NETC.Educational.Travel/	Phone/email from public company social/profile listing; verify before YAMM	Send education/student group lunch outreach; call if no email response
Tier 3 - Educational / Student Travel	Batch 3A - Tier 3 Complete	A	School Tours of America	https://www.schooltoursofamerica.com				info@sta-mail.com	866-543-9625	Houston	TX	Educational / Student Tours	40	500	Educational travel specialist for school groups; large group lunch potential.	No	https://www.schooltoursofamerica.com/contact-us	Email and phone verified on official contact page	Send education/student group lunch outreach; call if no email response
Tier 3 - Educational / Student Travel	Batch 3A - Tier 3 Complete	A	Close Up Foundation	https://www.closeup.org				info@closeup.org	703-706-3300	Arlington	VA	Educational / Civic Student Travel	35	400	Hands-on student travel and civic education programs.	No	https://www.closeup.org/requestinfo/	Email and phone verified on request information/contact pages	Send education/student group lunch outreach; call if no email response
Tier 3 - Educational / Student Travel	Batch 3A - Tier 3 Complete	A	ACFEA Tour Consultants	https://acfea.com				sanfrancisco@acfea.com	415-453-6619	San Francisco / Seattle / Philadelphia	CA/WA/PA	Educational / Performing Arts Travel	40	300	Performer and music group tour consultant; potential student/performing group meals.	No	https://acfea.com/contact/	Office emails and phones verified on official contact page	Send education/student group lunch outreach; call if no email response
